Variable,Estimate_mean,Estimate_std,StdError_mean,t_value_mean,p_value_mean,p_value_median,p_value_min,p_value_max,n_significant,n_seeds_present,pct_significant,significance
ADHD9_difficulty_following_instructions9,-0.0022,0.0061,0.0071,-0.303,0.527,0.527,0.15757610153532609,0.869255946122907,0,5,0,
SUD15_Cigarettes15:ASD9_absorbed_own9,0.0015,0.005,0.0069,0.209,0.53,0.564,0.2759071343492545,0.6636154379136787,0,5,0,
SUD15_Snuff15:PRS_Thalamic_excitatory,-0.0213,0.0186,0.0292,-0.734,0.537,0.635,0.06371676426821593,0.8535713717642097,0,5,0,
SUD15_Painkillers_opioids15:PRS_Deep_layer_intratelencepha,0.0229,0.0194,0.0327,0.706,0.542,0.642,0.16636061763283472,0.8905080246945265,0,5,0,
SUD15_Snuff15:ADHD9_difficulty_with_attention9,-0.0045,0.0067,0.0075,-0.599,0.543,0.584,0.053620736988994055,0.9362793547654515,0,5,0,
ASD9_absorbed_details9,0.0036,0.0011,0.0059,0.608,0.548,0.585,0.36403796231152175,0.6365724999012139,0,5,0,
ACE15_bullying_time15,-5e-4,0.002,0.0025,-0.215,0.55,0.471,0.22306009072277955,0.9090824256513084,0,5,0,
PRS_Deep_layer_corticothalamic,0.0138,0.0142,0.0187,0.735,0.553,0.474,0.09073327194911318,0.9973488893185687,0,5,0,
SCZ15_worry15,-0.002,0.0017,0.0029,-0.677,0.557,0.506,0.12330740463671575,0.9381724530873754,0,5,0,
SCZ15_Others_Read_thoughts15,0.0018,0.0014,0.0029,0.6,0.559,0.507,0.20738559004068247,0.941295275849442,0,5,0,
SUD15_Snuff15:ASD9_absorbed_problems9,-0.0224,0.012,0.0366,-0.605,0.559,0.488,0.4034463276786642,0.9639882479657125,0,5,0,
ACE15_other_bullying15,0.0023,0.0013,0.0039,0.606,0.56,0.499,0.37810887150145023,0.9414152805389544,0,5,0,
SUD15_Cannabis15,-0.0247,0.0204,0.0383,-0.67,0.561,0.608,0.12099276867667497,0.9295124682965061,0,5,0,
SUD15_Snuff15:ASD9_difficulty_socialize9,-0.0181,0.0255,0.0203,-0.716,0.566,0.817,0.06340407233153078,0.9803253842849231,0,5,0,
SUD15_Cigarettes15:PRS_Amygdala_excitatory,0.0101,0.0162,0.0217,0.477,0.567,0.664,0.200620930166576,0.9602679432173513,0,5,0,
SUD15_OtherDrugs15:SES_education_mother,-0.0013,0.0036,0.0056,-0.249,0.571,0.558,0.29503715965284116,0.7955064480558611,0,5,0,
SUD15_Cigarettes15:SES_birth_country_mother,0.0018,0.0034,0.0044,0.431,0.573,0.595,0.12970713253936772,0.9463975344815028,0,5,0,
SUD15_Cannabis15:ADHD9_difficulty_hold_still9,-0.0081,0.0211,0.0182,-0.392,0.574,0.629,0.03573983204297981,0.967703247040316,1,5,20,
SUD15_Cannabis15:SEX,0.0051,0.0095,0.0145,0.366,0.581,0.577,0.27554442493008446,0.9483954348549377,0,5,0,
SUD15_Painkillers_opioids15:SCZ15_PROD_seen_hallucinations9,0.0106,0.011,0.0156,0.614,0.581,0.657,0.16333171071738084,0.9413081874786093,0,5,0,
PRS_Hippocampal_CA4,-0.0055,0.0135,0.0191,-0.292,0.582,0.502,0.24265736445021213,0.9598491855015405,0,5,0,
ADHD9_often_lose_things9,0.0026,0.0028,0.0044,0.581,0.583,0.787,0.18292284423236937,0.903632022090046,0,5,0,
factor(batch)GSA3:PC2,0.2802,0.3136,0.6053,0.422,0.584,0.623,0.20448058508671973,0.8728641509904649,0,5,0,
ASD9_difficulty_express9,0.0086,0.0115,0.0165,0.511,0.585,0.705,0.13854857796164577,0.9256145792459372,0,5,0,
ADHD9_often_motor9,0.0048,0.006,0.0073,0.649,0.588,0.771,0.1260060040305231,0.9985957141757389,0,5,0,
ADHD9_avoid_mental_effort_tasks9,-0.0017,0.0031,0.005,-0.329,0.589,0.612,0.2757241312672478,0.8895196230284572,0,5,0,
SUD15_Snuff15:ADHD9_often_motor9,-0.0016,0.006,0.0083,-0.221,0.59,0.687,0.21572797785287712,0.7932286428626287,0,5,0,
ASD9_strange_movements9,0.014,0.0054,0.0255,0.546,0.591,0.562,0.4792534113625122,0.8338006669609914,0,5,0,
SUD15_Alcohol15:ADHD9_talk_excess9,0.0018,0.0011,0.0032,0.556,0.597,0.649,0.3264047359990214,0.8357845516723503,0,5,0,
SUD15_Cannabis15:PRS_LAMP5_LHX6_and_Chandelier,-0.0233,0.0403,0.0608,-0.378,0.598,0.609,0.20810180781815335,0.9695658017216304,0,5,0,
SUD15_Cannabis15:ACE15_other_bullying15,-0.0072,0.005,0.0134,-0.559,0.598,0.606,0.3363629334974012,0.9745853462120215,0,5,0,
SUD15_Cannabis15:ADHD9_difficulty_following_instructions9,0.0114,0.0054,0.0214,0.53,0.604,0.61,0.3827885623408467,0.8385310383239815,0,5,0,
ADHD9_often_run9,-0.0028,0.0026,0.0054,-0.515,0.616,0.462,0.3589907253254676,0.9552788274880828,0,5,0,
PRS_LAMP5_LHX6_and_Chandelier,-0.0099,0.0052,0.0194,-0.509,0.62,0.556,0.40993584749325285,0.8819991386335138,0,5,0,
ADHD9_difficulty_waiting9,0.0021,0.0024,0.0048,0.441,0.627,0.605,0.3086197470305221,0.9388883038995188,0,5,0,
factor(batch)PSYC:PC1,-0.0019,0.0978,0.148,0.003,0.628,0.594,0.35451258924990814,0.9706999602402449,0,5,0,
factor(batch)GSA3:PC1,-0.1804,0.138,0.3958,-0.58,0.629,0.678,0.09236597048459294,0.8954336368959273,0,5,0,
PRS_Medium_spiny_neuron,-0.0011,0.0133,0.0194,-0.055,0.632,0.656,0.2538659146109148,0.9167174408646401,0,5,0,
SUD15_Cannabis15:ADHD9_often_blurt_out9,3e-4,0.0129,0.0192,0.002,0.637,0.715,0.34219941522122244,0.9225536077887428,0,5,0,
factor(batch)GSA1:PC1,-0.1262,0.1318,0.2534,-0.537,0.637,0.831,0.23368448560641264,0.9861878486463622,0,5,0,
ASD9_repeat_words9,-0.0034,0.0171,0.028,-0.135,0.638,0.529,0.43378851695848075,0.8883487462589419,0,5,0,
ADHD9_often_blurt_out9,-0.0019,0.0022,0.0046,-0.418,0.638,0.645,0.27311806175502973,0.8756065277909304,0,5,0,
SCZ15_Not_tired15,-8e-4,0.001,0.0022,-0.344,0.647,0.694,0.465257014003841,0.8534624220707165,0,5,0,
SUD15_Cigarettes15:PRS_Hippocampal_CA1_3,-6e-4,0.0156,0.0223,-0.041,0.652,0.747,0.2630439473557351,0.9351183315243503,0,5,0,
SUD15_Alcohol15:ASD9_strange_movements9,-0.0033,0.0021,0.007,-0.463,0.654,0.602,0.4507163247378547,0.9728581909906329,0,5,0,
SES_education_mother,6e-4,8e-4,0.002,0.299,0.654,0.697,0.46089146079976295,0.7514623955898272,0,5,0,
SUD15_Snuff15:ACE18_witness_crime18,-2e-4,0.0055,0.0086,-0.027,0.656,0.772,0.34477309650486854,0.8543083192498147,0,5,0,
SUD15_OtherDrugs15:ADHD9_often_run9,-0.006,0.0029,0.0134,-0.443,0.662,0.6,0.5336787165415868,0.853815421653721,0,5,0,
ASD9_absorbed_problems9,-0.0047,0.0035,0.0104,-0.454,0.663,0.512,0.4406341900971191,0.9536011889120302,0,5,0,
SUD15_Cannabis15:PRS_Deep_layer_corticothalamic,0.0184,0.03,0.0566,0.317,0.664,0.752,0.3282243119801469,0.9654974244060766,0,5,0,
SUD15_Painkillers_opioids15:SES_birth_country_mother,0.002,0.0043,0.0097,0.218,0.68,0.721,0.46117382322519074,0.8754535958241612,0,5,0,
SUD15_Cigarettes15:ACE18_emotional_abuse18,-0.0021,0.0025,0.0047,-0.44,0.683,0.854,0.23967612463612986,0.96537921333262,0,5,0,
ASD9_own_terms9,0.0013,0.0036,0.0077,0.167,0.687,0.685,0.5442718734337109,0.9003167548448927,0,5,0,
SUD15_Alcohol15:ASD9_repeat_words9,0.001,0.0039,0.0076,0.147,0.702,0.647,0.4549377392994032,0.9911150590361046,0,5,0,
