Variable,Estimate_mean,Estimate_std,StdError_mean,t_value_mean,p_value_mean,p_value_median,p_value_min,p_value_max,n_significant,n_seeds_present,pct_significant,significance
SUD15_Cigarettes15:ASD9_absorbed_own9,0.0115,0.0079,0.0119,0.954,0.415,0.324,0.09030461237660203,0.8356580900654882,0,5,0,
ADHD9_often_interrupt9,0.0085,0.0049,0.0094,0.907,0.415,0.243,0.17455285095319972,0.8049523767812727,0,5,0,
SUD15_Painkillers_opioids15:ASD9_dislike_change9,3e-4,0.0167,0.0174,0.095,0.421,0.345,0.2951311041875502,0.7474107812838484,0,5,0,
SUD15_Snuff15:SES_education_mother,0.0051,0.0028,0.0059,0.871,0.426,0.384,0.1511591054943573,0.7454347681644378,0,5,0,
SUD15_Cigarettes15:SCZ15_Seen_hallucinations15,-0.0027,0.0061,0.0068,-0.405,0.43,0.285,0.26190314826609207,0.7983193034334555,0,5,0,
SUD15_Cannabis15:PRS_LAMP5_LHX6_and_Chandelier,0.0864,0.0352,0.1049,0.82,0.431,0.367,0.2663078945760773,0.7707625588384892,0,5,0,
PRS_Deep_layer_corticothalamic,0.0288,0.0178,0.0326,0.884,0.431,0.436,0.09576929464725348,0.7267583358458953,0,5,0,
SUD15_Painkillers_opioids15:ADHD9_often_move9,-0.018,0.0094,0.0215,-0.833,0.438,0.359,0.20419032688587446,0.7289632496293266,0,5,0,
SUD15_Alcohol15,-0.0058,0.0242,0.0236,-0.234,0.444,0.345,0.14554831477137342,0.9525730603345026,0,5,0,
SUD15_Alcohol15:SEX,-0.0052,0.002,0.0066,-0.793,0.446,0.484,0.1892624967048091,0.6169895984831668,0,5,0,
ACE18_hate_crime18,-0.0524,0.0395,0.0602,-0.866,0.447,0.251,0.13480180913690631,0.967833548190955,0,5,0,
ASD9_absorbed_details9,0.0082,0.0038,0.0103,0.794,0.451,0.448,0.2350000143657689,0.7175040194949409,0,5,0,
ADHD9_difficulty_following_instructions9,0.0071,0.0093,0.0122,0.588,0.451,0.365,0.20126329878056293,0.8460208658287303,0,5,0,
SUD15_Cigarettes15:ADHD9_fail_close_attention9,-0.0087,0.007,0.0095,-0.907,0.454,0.303,0.09899048029646318,0.9442308622450322,0,5,0,
SCZ15_Special_powers15,-0.0092,0.0072,0.0103,-0.877,0.458,0.456,0.046023706650626606,0.8057167923936075,1,5,20,
ASD9_absorbed_own9,0.0048,0.0072,0.0107,0.442,0.458,0.45,0.41534017882767005,0.5365309584732594,0,5,0,
SCZ15_Special_messages15,0.0444,0.0443,0.0451,0.932,0.46,0.489,0.02048690191216851,0.9758990386622095,1,5,20,
PRS_LAMP5_LHX6_and_Chandelier,-0.0265,0.014,0.0338,-0.785,0.464,0.562,0.15875524896904203,0.7123821551116092,0,5,0,
SES_birth_country_mother,0.0064,0.0046,0.0086,0.736,0.465,0.36,0.1877466242180592,0.9034587171025827,0,5,0,
SUD15_Painkillers_opioids15:SCZ15_Hear_voices15,-0.0025,0.013,0.0155,-0.154,0.466,0.49,0.3165734005553815,0.5888919206843728,0,5,0,
SUD15_Alcohol15:ACE15_emotional_bullying15,-0.0041,0.0046,0.0058,-0.702,0.468,0.406,0.06913341949515828,0.7821721243692914,0,5,0,
SUD15_Snuff15:ACE15_tease_bullying15,-0.0055,0.0105,0.0102,-0.494,0.473,0.409,0.08845724652749087,0.8733727915326959,0,5,0,
SUD15_Cigarettes15:SCZ15_Spied15,-0.0033,0.0032,0.0053,-0.637,0.475,0.357,0.2226517525843914,0.7568599519523438,0,5,0,
SCZ15_lose_confidence15,-0.0109,0.0101,0.0157,-0.685,0.477,0.48,0.15102387621100521,0.8177788708574258,0,5,0,
SUD15_Cannabis15:ADHD9_difficulty_hold_still9,-0.0058,0.033,0.0314,-0.155,0.48,0.563,0.11630158856788775,0.7165424326059411,0,5,0,
ASD9_difficulty_express9,0.0101,0.0226,0.0285,0.345,0.482,0.585,0.24931952149609327,0.6444975264298682,0,5,0,
factor(batch)GSA1:PC1,0.2445,0.4701,0.4389,0.59,0.487,0.48,0.028419599261236606,0.8853988450790014,1,5,20,
PRS_Medium_spiny_neuron,-0.0246,0.0138,0.0338,-0.732,0.49,0.377,0.2734002564258109,0.9767415705668518,0,5,0,
SUD15_Cannabis15:PRS_all,-0.0261,0.0137,0.0361,-0.726,0.492,0.349,0.27894225322417876,0.8590730909351532,0,5,0,
SUD15_Painkillers_opioids15:ADHD9_difficulty_organizing_tasks9,0.0069,0.0298,0.0273,0.136,0.497,0.488,0.1363951237239993,0.7459987282250107,0,5,0,
SCZ15_Spied15,-0.0014,0.0046,0.0049,-0.282,0.498,0.597,0.161040372796039,0.7598971152677552,0,5,0,
SUD15_Cannabis15:ASD9_difficulty_pretend_play9,-0.108,0.0218,0.1588,-0.679,0.499,0.468,0.4346402120704287,0.5950144177390653,0,3,0,
ASD9_delay_language9,0.0057,0.0034,0.0079,0.721,0.502,0.386,0.26533798246582285,0.8599532203545666,0,5,0,
SCZ15_PROD_seen_hallucinations9,-0.0118,0.0072,0.0169,-0.701,0.502,0.419,0.3041104414764009,0.9868293470241571,0,5,0,
SUD15_Cannabis15:SEX,-0.0181,0.0114,0.0251,-0.725,0.506,0.501,0.14010945351512638,0.8023272230806293,0,5,0,
SCZ15_Read_others_minds15,-0.0021,0.0029,0.0043,-0.494,0.507,0.602,0.21879325445890707,0.7487908942529273,0,5,0,
SUD15_Snuff15:ADHD9_difficulty_with_attention9,0.0088,0.0031,0.013,0.675,0.51,0.542,0.28577044921211003,0.640776742952317,0,5,0,
SUD15_Painkillers_opioids15:PRS_Medium_spiny_neuron,-0.0474,0.0349,0.0642,-0.739,0.513,0.555,0.17656229269700785,0.9314898616071259,0,5,0,
SUD15_Alcohol15:SCZ15_Irritable15,0.0031,0.0024,0.0042,0.74,0.516,0.548,0.16669169904827763,0.8624907502796477,0,5,0,
ACE15_other_bullying15,-0.0044,0.0018,0.0067,-0.667,0.517,0.52,0.27972218754198463,0.7522030592446631,0,5,0,
SUD15_Alcohol15:SCZ15_Special_messages15,-0.009,0.013,0.0125,-0.667,0.526,0.664,0.027400138065291735,0.7590934439134869,1,5,20,
